account_id,district_id,frequency,date
5270,44,POPLATEK MESICNE,1993-01-13
11265,15,POPLATEK MESICNE,1993-01-14
10364,55,POPLATEK MESICNE,1993-01-17
3834,54,POPLATEK MESICNE,1993-01-19
6473,12,POPLATEK MESICNE,1993-01-26
9265,1,POPLATEK MESICNE,1993-02-04
5622,70,POPLATEK MESICNE,1993-02-08
7753,74,POPLATEK MESICNE,1993-02-08
9188,45,POPLATEK MESICNE,1993-02-08
813,16,POPLATEK MESICNE,1993-02-10
4937,12,POPLATEK MESICNE,1993-02-20
2486,1,POPLATEK MESICNE,1993-02-27
3674,38,POPLATEK MESICNE,1993-03-12
11065,11,POPLATEK MESICNE,1993-03-19
1787,30,POPLATEK TYDNE,1993-03-22
3678,1,POPLATEK MESICNE,1993-03-24
6425,31,POPLATEK MESICNE,1993-03-29
8519,23,POPLATEK MESICNE,1993-04-02
8321,77,POPLATEK MESICNE,1993-04-12
5428,24,POPLATEK MESICNE,1993-04-14
7123,64,POPLATEK PO OBRATU,1993-04-14
10738,45,POPLATEK TYDNE,1993-04-17
5313,40,POPLATEK MESICNE,1993-04-29
3050,60,POPLATEK MESICNE,1993-05-08
1071,68,POPLATEK TYDNE,1993-05-10
9591,74,POPLATEK MESICNE,1993-05-20
5385,44,POPLATEK TYDNE,1993-05-21
10911,1,POPLATEK TYDNE,1993-05-29
4576,27,POPLATEK MESICNE,1993-06-05
2176,67,POPLATEK MESICNE,1993-06-06
4427,32,POPLATEK MESICNE,1993-06-07
1247,25,POPLATEK MESICNE,1993-06-08
9093,47,POPLATEK MESICNE,1993-06-16
4894,14,POPLATEK MESICNE,1993-06-20
5120,1,POPLATEK MESICNE,1993-06-21
5228,77,POPLATEK PO OBRATU,1993-06-23
8129,45,POPLATEK MESICNE,1993-06-26
5215,55,POPLATEK MESICNE,1993-07-01
8173,11,POPLATEK MESICNE,1993-07-05
6226,74,POPLATEK TYDNE,1993-07-26
3629,48,POPLATEK MESICNE,1993-07-27
7819,38,POPLATEK MESICNE,1993-08-01
6363,74,POPLATEK MESICNE,1993-08-01
11021,1,POPLATEK MESICNE,1993-08-10
5481,52,POPLATEK MESICNE,1993-08-16
9236,11,POPLATEK MESICNE,1993-08-18
6051,56,POPLATEK MESICNE,1993-08-28
1106,20,POPLATEK TYDNE,1993-08-29
8073,24,POPLATEK PO OBRATU,1993-09-03
7190,49,POPLATEK MESICNE,1993-09-06
6930,41,POPLATEK MESICNE,1993-09-08
8475,4,POPLATEK MESICNE,1993-09-08
10940,50,POPLATEK MESICNE,1993-09-13
9337,30,POPLATEK MESICNE,1993-09-13
7133,1,POPLATEK MESICNE,1993-09-17
1811,40,POPLATEK MESICNE,1993-09-22
8982,64,POPLATEK MESICNE,1993-09-25
11135,75,POPLATEK MESICNE,1993-10-10
8041,1,POPLATEK MESICNE,1993-10-10
4260,56,POPLATEK MESICNE,1993-10-14
2345,5,POPLATEK MESICNE,1993-10-25
5256,72,POPLATEK PO OBRATU,1993-10-25
3354,63,POPLATEK MESICNE,1993-11-05
9656,61,POPLATEK MESICNE,1993-11-14
8377,29,POPLATEK MESICNE,1993-11-20
10439,66,POPLATEK MESICNE,1993-11-21
10788,67,POPLATEK TYDNE,1993-11-22
6353,26,POPLATEK MESICNE,1993-11-26
10131,1,POPLATEK MESICNE,1993-11-27
426,1,POPLATEK MESICNE,1993-11-29
344,54,POPLATEK MESICNE,1993-12-01
10663,11,POPLATEK MESICNE,1993-12-08
347,65,POPLATEK MESICNE,1993-12-13
6148,74,POPLATEK MESICNE,1993-12-27
9104,10,POPLATEK MESICNE,1994-01-21
4907,42,POPLATEK MESICNE,1994-02-06
6472,61,POPLATEK MESICNE,1994-02-08
8558,1,POPLATEK PO OBRATU,1994-02-27
817,5,POPLATEK MESICNE,1994-03-18
2228,34,POPLATEK MESICNE,1994-03-19
3804,7,POPLATEK MESICNE,1994-04-07
4259,66,POPLATEK MESICNE,1994-04-08
1375,19,POPLATEK MESICNE,1994-04-27
9750,74,POPLATEK MESICNE,1994-05-16
2496,51,POPLATEK MESICNE,1994-05-21
2227,31,POPLATEK TYDNE,1994-05-22
3037,44,POPLATEK MESICNE,1994-05-26
8316,70,POPLATEK MESICNE,1994-06-04
4825,15,POPLATEK MESICNE,1994-06-04
10942,44,POPLATEK TYDNE,1994-06-05
7765,52,POPLATEK TYDNE,1994-07-10
5574,13,POPLATEK TYDNE,1994-07-14
9627,65,POPLATEK PO OBRATU,1994-07-22
8776,64,POPLATEK MESICNE,1994-08-24
9006,40,POPLATEK TYDNE,1994-09-02
7546,43,POPLATEK MESICNE,1994-09-03
8899,1,POPLATEK TYDNE,1994-09-05
11359,61,POPLATEK MESICNE,1994-10-01
8127,37,POPLATEK MESICNE,1994-10-13
5422,66,POPLATEK MESICNE,1994-10-22
1993,68,POPLATEK MESICNE,1994-10-30
4476,24,POPLATEK MESICNE,1994-11-10
1583,69,POPLATEK PO OBRATU,1994-11-17
2218,19,POPLATEK MESICNE,1994-11-21
3489,9,POPLATEK MESICNE,1994-12-08
1011,45,POPLATEK MESICNE,1994-12-17
4503,50,POPLATEK MESICNE,1995-01-03
7795,64,POPLATEK MESICNE,1995-01-05
7562,72,POPLATEK TYDNE,1995-01-17
915,72,POPLATEK MESICNE,1995-01-18
9814,64,POPLATEK TYDNE,1995-01-19
2352,70,POPLATEK MESICNE,1995-01-21
5735,52,POPLATEK MESICNE,1995-01-25
7614,62,POPLATEK MESICNE,1995-02-08
2268,1,POPLATEK MESICNE,1995-02-11
1967,26,POPLATEK TYDNE,1995-02-13
4727,2,POPLATEK MESICNE,1995-02-13
10884,65,POPLATEK MESICNE,1995-02-20
1772,31,POPLATEK TYDNE,1995-02-20
9493,64,POPLATEK MESICNE,1995-04-02
7815,19,POPLATEK TYDNE,1995-04-09
10351,23,POPLATEK MESICNE,1995-05-04
544,32,POPLATEK MESICNE,1995-05-15
10963,16,POPLATEK MESICNE,1995-05-20
11069,37,POPLATEK MESICNE,1995-06-02
2018,42,POPLATEK MESICNE,1995-06-04
5263,64,POPLATEK MESICNE,1995-07-14
8547,14,POPLATEK TYDNE,1995-07-17
4081,11,POPLATEK MESICNE,1995-07-22
4948,43,POPLATEK MESICNE,1995-07-29
5033,54,POPLATEK MESICNE,1995-08-03
5118,72,POPLATEK MESICNE,1995-08-05
4681,70,POPLATEK MESICNE,1995-08-08
8327,1,POPLATEK TYDNE,1995-08-08
3679,64,POPLATEK MESICNE,1995-08-15
5213,1,POPLATEK MESICNE,1995-08-18
2236,73,POPLATEK MESICNE,1995-08-27
9052,43,POPLATEK PO OBRATU,1995-08-30
10365,22,POPLATEK MESICNE,1995-09-02
4190,62,POPLATEK MESICNE,1995-10-04
6400,31,POPLATEK PO OBRATU,1995-10-09
4473,45,POPLATEK MESICNE,1995-10-09
8533,47,POPLATEK MESICNE,1995-10-10
11362,67,POPLATEK MESICNE,1995-10-14
4650,4,POPLATEK MESICNE,1995-10-15
10762,1,POPLATEK MESICNE,1995-10-23
10520,55,POPLATEK PO OBRATU,1995-10-24
9353,59,POPLATEK MESICNE,1995-11-03
2516,6,POPLATEK MESICNE,1995-11-16
8039,9,POPLATEK MESICNE,1995-12-17
3273,74,POPLATEK MESICNE,1995-12-29
8931,63,POPLATEK TYDNE,1996-01-01
9225,11,POPLATEK MESICNE,1996-01-01
6678,54,POPLATEK MESICNE,1996-01-03
9024,1,POPLATEK MESICNE,1996-01-05
2153,31,POPLATEK TYDNE,1996-01-07
1580,69,POPLATEK MESICNE,1996-01-08
4994,1,POPLATEK TYDNE,1996-01-11
1093,54,POPLATEK MESICNE,1996-01-14
10297,14,POPLATEK MESICNE,1996-01-19
4981,54,POPLATEK MESICNE,1996-01-22
9645,38,POPLATEK MESICNE,1996-01-23
314,15,POPLATEK PO OBRATU,1996-01-26
2106,1,POPLATEK MESICNE,1996-02-01
11054,59,POPLATEK TYDNE,1996-02-01
5181,75,POPLATEK MESICNE,1996-02-03
4999,1,POPLATEK MESICNE,1996-02-12
8680,17,POPLATEK MESICNE,1996-02-12
3754,37,POPLATEK TYDNE,1996-02-19
718,1,POPLATEK MESICNE,1996-03-03
1886,32,POPLATEK MESICNE,1996-03-05
2062,70,POPLATEK MESICNE,1996-03-06
846,72,POPLATEK MESICNE,1996-03-09
10807,34,POPLATEK MESICNE,1996-03-13
9242,57,POPLATEK MESICNE,1996-03-15
5591,9,POPLATEK MESICNE,1996-03-16
525,70,POPLATEK MESICNE,1996-03-20
10436,60,POPLATEK MESICNE,1996-03-21
10049,17,POPLATEK MESICNE,1996-03-28
10065,76,POPLATEK MESICNE,1996-03-30
10345,36,POPLATEK MESICNE,1996-04-07
8085,73,POPLATEK MESICNE,1996-04-08
2986,63,POPLATEK MESICNE,1996-04-09
3021,10,POPLATEK MESICNE,1996-04-20
7240,17,POPLATEK MESICNE,1996-04-23
2246,1,POPLATEK MESICNE,1996-04-25
7997,10,POPLATEK MESICNE,1996-04-25
6792,1,POPLATEK MESICNE,1996-05-11
6158,67,POPLATEK MESICNE,1996-05-13
9199,72,POPLATEK MESICNE,1996-05-15
8772,1,POPLATEK MESICNE,1996-05-16
7542,54,POPLATEK MESICNE,1996-05-16
7713,50,POPLATEK TYDNE,1996-05-25
3448,58,POPLATEK TYDNE,1996-06-06
1270,55,POPLATEK PO OBRATU,1996-06-07
4803,26,POPLATEK MESICNE,1996-06-08
8158,48,POPLATEK TYDNE,1996-06-16
6688,16,POPLATEK MESICNE,1996-06-25
7181,77,POPLATEK PO OBRATU,1996-07-02
1004,70,POPLATEK MESICNE,1996-07-02
9859,27,POPLATEK MESICNE,1996-07-08
10711,36,POPLATEK MESICNE,1996-07-08
5602,19,POPLATEK PO OBRATU,1996-07-10
5837,5,POPLATEK MESICNE,1996-07-18
3562,50,POPLATEK MESICNE,1996-07-19
378,68,POPLATEK MESICNE,1996-07-22
303,71,POPLATEK MESICNE,1996-07-25
10954,25,POPLATEK MESICNE,1996-07-29
9159,64,POPLATEK MESICNE,1996-08-02
2134,52,POPLATEK MESICNE,1996-08-06
9491,7,POPLATEK TYDNE,1996-08-08
8038,47,POPLATEK MESICNE,1996-08-17
7637,46,POPLATEK MESICNE,1996-08-19
4144,1,POPLATEK MESICNE,1996-08-19
4969,60,POPLATEK TYDNE,1996-08-19
7099,1,POPLATEK MESICNE,1996-08-20
2622,1,POPLATEK MESICNE,1996-08-21
3353,74,POPLATEK MESICNE,1996-08-27
6062,24,POPLATEK MESICNE,1996-08-28
7990,9,POPLATEK MESICNE,1996-08-30
7082,57,POPLATEK MESICNE,1996-09-06
5362,76,POPLATEK TYDNE,1996-09-06
6075,19,POPLATEK MESICNE,1996-09-15
1329,53,POPLATEK MESICNE,1996-09-16
10789,75,POPLATEK MESICNE,1996-09-18
7632,68,POPLATEK MESICNE,1996-09-22
1374,53,POPLATEK MESICNE,1996-09-26
10857,50,POPLATEK MESICNE,1996-10-02
6950,36,POPLATEK MESICNE,1996-10-12
4949,33,POPLATEK MESICNE,1996-10-14
8784,1,POPLATEK MESICNE,1996-10-16
3143,38,POPLATEK MESICNE,1996-10-18
5317,28,POPLATEK MESICNE,1996-10-20
9037,1,POPLATEK MESICNE,1996-10-22
4715,8,POPLATEK MESICNE,1996-10-28
9455,73,POPLATEK MESICNE,1996-11-03
11328,54,POPLATEK MESICNE,1996-11-05
6157,34,POPLATEK MESICNE,1996-11-11
1638,6,POPLATEK TYDNE,1996-11-12
10905,32,POPLATEK MESICNE,1996-11-21
8688,66,POPLATEK MESICNE,1996-11-22
3862,1,POPLATEK MESICNE,1996-11-23
10280,69,POPLATEK MESICNE,1996-12-01
7176,1,POPLATEK MESICNE,1996-12-07
11096,28,POPLATEK MESICNE,1996-12-10
4631,77,POPLATEK PO OBRATU,1996-12-12
4794,72,POPLATEK MESICNE,1996-12-18
10645,2,POPLATEK MESICNE,1996-12-21
7045,51,POPLATEK MESICNE,1996-12-26
9424,54,POPLATEK MESICNE,1996-12-30
2064,54,POPLATEK MESICNE,1996-12-30
10148,34,POPLATEK MESICNE,1997-01-13
6138,54,POPLATEK MESICNE,1997-01-22
1656,47,POPLATEK MESICNE,1997-02-01
11231,1,POPLATEK MESICNE,1997-02-05
4550,56,POPLATEK MESICNE,1997-02-06
10915,25,POPLATEK TYDNE,1997-02-15
5445,72,POPLATEK MESICNE,1997-02-19
4268,77,POPLATEK MESICNE,1997-02-20
10068,1,POPLATEK MESICNE,1997-04-02
2725,52,POPLATEK MESICNE,1997-04-02
2165,51,POPLATEK MESICNE,1997-04-08
4467,17,POPLATEK TYDNE,1997-04-13
4725,73,POPLATEK MESICNE,1997-04-14
2055,37,POPLATEK MESICNE,1997-04-17
873,73,POPLATEK MESICNE,1997-04-26
10134,22,POPLATEK MESICNE,1997-04-26
10257,27,POPLATEK MESICNE,1997-05-01
5164,5,POPLATEK MESICNE,1997-05-13
1808,28,POPLATEK MESICNE,1997-05-16
7559,56,POPLATEK MESICNE,1997-05-24
5944,27,POPLATEK MESICNE,1997-06-06
7180,7,POPLATEK TYDNE,1997-06-12
2720,2,POPLATEK TYDNE,1997-06-16
8645,60,POPLATEK MESICNE,1997-06-23
1284,55,POPLATEK MESICNE,1997-07-02
7721,13,POPLATEK MESICNE,1997-07-03
8919,62,POPLATEK MESICNE,1997-07-03
105,21,POPLATEK MESICNE,1997-07-10
10644,16,POPLATEK MESICNE,1997-07-12
9560,1,POPLATEK MESICNE,1997-07-13
7052,55,POPLATEK PO OBRATU,1997-07-17
1776,36,POPLATEK MESICNE,1997-07-27
2000,5,POPLATEK MESICNE,1997-08-06
3293,1,POPLATEK MESICNE,1997-08-08
38,19,POPLATEK TYDNE,1997-08-08
4784,46,POPLATEK MESICNE,1997-08-08
9140,32,POPLATEK MESICNE,1997-08-18
8639,46,POPLATEK MESICNE,1997-08-22
2142,42,POPLATEK MESICNE,1997-09-01
10243,44,POPLATEK MESICNE,1997-09-03
5698,1,POPLATEK MESICNE,1997-09-04
10650,76,POPLATEK MESICNE,1997-09-09
9156,18,POPLATEK MESICNE,1997-09-14
1718,71,POPLATEK MESICNE,1997-09-23
4616,1,POPLATEK MESICNE,1997-09-24
7274,11,POPLATEK MESICNE,1997-09-28
11327,7,POPLATEK MESICNE,1997-10-15
10613,55,POPLATEK MESICNE,1997-11-04
9227,51,POPLATEK MESICNE,1997-11-04
